却	6419
专	6411
状	6403
育	6396
厂	6388
京	6381
识	6373
适	6365
属	6358
圆	6350
包	6343
火	6335
住	6327
调	6320
满	6312
县	6305
局	6297
照	6289
参	6282
红	6274
细	6267
引	6259
听	6251
该	6244
铁	6236
价	6229
严	6221
 	6213
!	6206
"	6198
#	6191
$	6183
%	6175
&	6168
'	6160
(	6153
)	6145
*	6137
+	6130
,	6122
-	6115
.	6107
/	6099
0	6092
1	6084
2	6076
3	6069
4	6061
5	6054
6	6046
7	6038
8	6031
9	6023
:	6016
;	6008
<	6000
=	5993
>	5985
?	5978
@	5970
A	5962
B	5955
C	5947
D	5940
E	5932
F	5924
G	5917
H	5909
I	5902
J	5894
K	5886
L	5879
M	5871
N	5864
O	5856
P	5848
Q	5841
R	5833
S	5826
T	5818
U	5810
V	5803
W	5795
X	5788
Y	5780
Z	5772
[	5765
\	5757
]	5750
^	5742
_	5734
`	5727
a	5719
b	5712
c	5704
d	5696
e	5689
f	5681
g	5674
h	5666
i	5658
j	5651
k	5643
l	5636
m	5628
n	5620
o	5613
p	5605
q	5598
r	5590
s	5582
t	5575
u	5567
v	5560
w	5552
x	5544
y	5537
z	5529
{	5521
|	5514
}	5506
~	5499
①	5491
②	5483
③	5476
④	5468
⑤	5461
⑥	5453
⑦	5445
⑧	5438
⑨	5430
⑩	5423
⑴	5415
⑵	5407
⑶	5400
⑷	5392
⑸	5385
⑹	5377
⑺	5369
⑻	5362
⑼	5354
⑽	5347
㈠	5339
㈡	5331
㈢	5324
㈣	5316
㈤	5309
㈥	5301
㈦	5293
㈧	5286
㈨	5278
㈩	5271
Ⅰ	5263
Ⅱ	5255
Ⅲ	5248
Ⅳ	5240
Ⅴ	5233
Ⅵ	5225
Ⅶ	5217
Ⅷ	5210
Ⅸ	5202
Ⅹ	5195
Ⅺ	5187
Ⅻ	5179
ⅰ	5172
ⅱ	5164
ⅲ	5157
ⅳ	5149
ⅴ	5141
ⅵ	5134
ⅶ	5126
ⅷ	5119
ⅸ	5111
ⅹ	5103
⒈	5096
⒉	5088
⒊	5081
⒋	5073
⒌	5065
⒍	5058
⒎	5050
⒏	5043
⒐	5035
⒑	5027
⒒	5020
⒓	5012
⒔	5005
⒕	4997
⒖	4989
⒗	4982
⒘	4974
⒙	4966
⒚	4959
⒛	4951
!	4944
"	4936
#	4928
$	4921
%	4913
&	4906
'	4898
(	4890
)	4883
*	4875
+	4868
,	4860
-	4852
.	4845
/	4837
:	4830
;	4822
<	4814
=	4807
>	4799
?	4792
@	4784
[	4776
\	4769
]	4761
^	4754
_	4746
`	4738
{	4731
|	4723
}	4716
~	4708
￠	4700
￡	4693
¤	4685
§	4678
¨	4670
©	4662
ª	4655
«	4647
¬	4640
®	4632
¯	4624
°	4617
±	4609
²	4602
³	4594
´	4586
µ	4579
¶	4571
·	4564
¸	4556
¹	4548
º	4541
»	4533
¼	4526
½	4518
¾	4510
¿	4503
À	4495
Á	4488
Â	4480
Ã	4472
Ä	4465
Å	4457
Æ	4450
Ç	4442
È	4434
É	4427
Ê	4419
Ë	4411
Ì	4404
Í	4396
Î	4389
Ï	4381
Ð	4373
Ñ	4366
Ò	4358
Ó	4351
Ô	4343
Õ	4335
Ö	4328
×	4320
Ø	4313
Ù	4305
Ú	4297
Û	4290
Ü	4282
Ý	4275
Þ	4267
ß	4259
à	4252
á	4244
â	4237
ã	4229
ä	4221
å	4214
æ	4206
ç	4199
è	4191
é	4183
ê	4176
ë	4168
ì	4161
í	4153
î	4145
ï	4138
ð	4130
ñ	4123
ò	4115
ó	4107
ô	4100
õ	4092
ö	4085
÷	4077
ø	4069
ù	4062
ú	4054
û	4047
ü	4039
ý	4031
þ	4024
ÿ	4016
﹉	4009
﹊	4001
﹋	3993
﹌	3986
﹍	3978
﹎	3971
﹏	3963
﹐	3955
﹑	3948
﹒	3940
﹔	3933
﹕	3925
﹖	3917
﹗	3910
﹘	3902
﹙	3895
﹚	3887
﹛	3879
﹜	3872
﹝	3864
﹞	3856
﹟	3849
﹠	3841
﹡	3834
﹢	3826
﹣	3818
﹤	3811
﹥	3803
﹦	3796
﹨	3788
﹩	3780
﹪	3773
﹫	3765
ﹰ	3758
ﹱ	3750
ﹲ	3742
ﹳ	3735
ﹴ	3727
﹵	3720
ﹶ	3712
ﹷ	3704
ﹸ	3697
ﹹ	3689
ﹺ	3682
ﹻ	3674
ﹼ	3666
ﹽ	3659
ﹾ	3651
ﹿ	3644
ﺀ	3636
ﺁ	3628
ﺂ	3621
ﺃ	3613
ﺄ	3606
ﺅ	3598
ﺆ	3590
ﺇ	3583
ﺈ	3575
ﺉ	3568
ﺊ	3560
ﺋ	3552
ﺌ	3545
ﺍ	3537
ﺎ	3530
ﺏ	3522
ﺐ	3514
ﺑ	3507
ﺒ	3499
ﺓ	3492
ﺔ	3484
ﺕ	3476
ﺖ	3469
ﺗ	3461
ﺘ	3454
ﺙ	3446
ﺚ	3438
ﺛ	3431
ﺜ	3423
ﺝ	3416
ﺞ	3408
ﺟ	3400
ﺠ	3393
ﺡ	3385
ﺢ	3378
ﺣ	3370
ﺤ	3362
ﺥ	3355
ﺦ	3347
ﺧ	3340
ﺨ	3332
ﺩ	3324
ﺪ	3317
ﺫ	3309
ﺬ	3301
ﺭ	3294
ﺮ	3286
ﺯ	3279
ﺰ	3271
ﺱ	3263
ﺲ	3256
ﺳ	3248
ﺴ	3241
ﺵ	3233
ﺶ	3225
ﺷ	3218
ﺸ	3210
ﺹ	3203
ﺺ	3195
ﺻ	3187
ﺼ	3180
ﺽ	3172
ﺾ	3165
ﺿ	3157
ﻀ	3149
ﻁ	3142
ﻂ	3134
ﻃ	3127
ﻄ	3119
ﻅ	3111
ﻆ	3104
ﻇ	3096
ﻈ	3089
ﻉ	3081
ﻊ	3073
ﻋ	3066
ﻌ	3058
ﻍ	3051
ﻎ	3043
ﻏ	3035
ﻐ	3028
ﻑ	3020
ﻒ	3013
ﻓ	3005
ﻔ	2997
ﻕ	2990
ﻖ	2982
ﻗ	2975
ﻘ	2967
ﻙ	2959
ﻚ	2952
ﻛ	2944
ﻜ	2937
ﻝ	2929
ﻞ	2921
ﻟ	2914
ﻠ	2906
ﻡ	2899
ﻢ	2891
ﻣ	2883
ﻤ	2876
ﻥ	2868
ﻦ	2861
ﻧ	2853
ﻨ	2845
ﻩ	2838
ﻪ	2830
ﻫ	2823
ﻬ	2815
ﻭ	2807
ﻮ	2800
ﻯ	2792
ﻰ	2785
ﻱ	2777
ﻲ	2769
ﻳ	2762
ﻴ	2754
ﻵ	2746
ﻶ	2739
ﻷ	2731
ﻸ	2724
ﻹ	2716
ﻺ	2708
ﻻ	2701
ﻼ	2693
ぁ	2686
あ	2678
ぃ	2670
い	2663
ぅ	2655
う	2648
ぇ	2640
え	2632
ぉ	2625
お	2617
か	2610
が	2602
き	2594
ぎ	2587
く	2579
ぐ	2572
け	2564
げ	2556
こ	2549
ご	2541
さ	2534
ざ	2526
し	2518
じ	2511
す	2503
ず	2496
せ	2488
ぜ	2480
そ	2473
ぞ	2465
た	2458
だ	2450
ち	2442
ぢ	2435
っ	2427
つ	2420
づ	2412
て	2404
で	2397
と	2389
ど	2382
な	2374
に	2366
ぬ	2359
ね	2351
の	2344
は	2336
ば	2328
ぱ	2321
ひ	2313
び	2306
ぴ	2298
ふ	2290
ぶ	2283
ぷ	2275
へ	2268
べ	2260
ぺ	2252
ほ	2245
ぼ	2237
ぽ	2230
ま	2222
み	2214
む	2207
め	2199
も	2191
ゃ	2184
や	2176
ゅ	2169
ゆ	2161
ょ	2153
よ	2146
ら	2138
り	2131
る	2123
れ	2115
ろ	2108
ゎ	2100
わ	2093
ゐ	2085
ゑ	2077
を	2070
ん	2062
ァ	2055
ア	2047
ィ	2039
イ	2032
ゥ	2024
ウ	2017
ェ	2009
エ	2001
ォ	1994
オ	1986
カ	1979
ガ	1971
キ	1963
ギ	1956
ク	1948
グ	1941
ケ	1933
ゲ	1925
コ	1918
ゴ	1910
サ	1903
ザ	1895
シ	1887
ジ	1880
ス	1872
ズ	1865
セ	1857
ゼ	1849
ソ	1842
ゾ	1834
タ	1827
ダ	1819
チ	1811
ヂ	1804
ッ	1796
ツ	1789
ヅ	1781
テ	1773
デ	1766
ト	1758
ド	1751
ナ	1743
ニ	1735
ヌ	1728
ネ	1720
ノ	1713
ハ	1705
バ	1697
パ	1690
ヒ	1682
ビ	1675
ピ	1667
フ	1659
ブ	1652
プ	1644
ヘ	1636
ベ	1629
ペ	1621
ホ	1614
ボ	1606
ポ	1598
マ	1591
ミ	1583
ム	1576
メ	1568
モ	1560
ャ	1553
ヤ	1545
ュ	1538
ユ	1530
ョ	1522
ヨ	1515
ラ	1507
リ	1500
ル	1492
レ	1484
ロ	1477
ヮ	1469
ワ	1462
ヰ	1454
ヱ	1446
ヲ	1439
ン	1431
ヴ	1424
ヵ	1416
ヶ	1408
Α	1401
Β	1393
Γ	1386
Δ	1378
Ε	1370
Ζ	1363
Η	1355
Θ	1348
Ι	1340
Κ	1332
Λ	1325
Μ	1317
Ν	1310
Ξ	1302
Ο	1294
Π	1287
Ρ	1279
Σ	1272
Τ	1264
Υ	1256
Φ	1249
Χ	1241
Ψ	1234
Ω	1226
α	1218
β	1211
γ	1203
δ	1196
ε	1188
ζ	1180
η	1173
θ	1165
ι	1158
κ	1150
λ	1142
μ	1135
ν	1127
ξ	1120
ο	1112
π	1104
ρ	1097
σ	1089
τ	1081
υ	1074
φ	1066
χ	1059
ψ	1051
ω	1043
А	1036
Б	1028
В	1021
Г	1013
Д	1005
Е	998
Ж	990
З	983
И	975
Й	967
К	960
Л	952
М	945
Н	937
О	929
П	922
Р	914
С	907
Т	899
У	891
Ф	884
Х	876
Ц	869
Ч	861
Ш	853
Щ	846
Ъ	838
Ы	831
Ь	823
Э	815
Ю	808
Я	800
а	793
б	785
в	777
г	770
д	762
е	755
ж	747
з	739
и	732
й	724
к	717
л	709
м	701
н	694
о	686
п	679
р	671
с	663
т	656
у	648
ф	641
х	633
ц	625
ч	618
ш	610
щ	603
ъ	595
ы	587
ь	580
э	572
ю	565
я	557
─	549
│	542
┌	534
┐	526
└	519
┘	511
├	504
┤	496
┬	488
┴	481
┼	473
▀	466
▁	458
▂	450
▃	443
▄	435
▅	428
▆	420
▇	412
█	405
▉	397
▊	390
▋	382
▌	374
▍	367
▎	359
▏	352
▓	344
▔	336
▕	329
▼	321
▖	314
▗	306
▘	298
▙	291
▚	283
▛	276
▜	268
▝	260
▞	253
▟	245
☺	238
☻	230
♥	222
♦	215
♣	207
♠	200
•	192
◘	184
○	177
◙	169
♂	162
♀	154
♪	146
♫	139
☼	131
►	124
◄	116
↕	108
‼	101
¶	93
§	86
▬	78
↨	70
↑	63
↓	55
→	48
←	40
∟	32
↔	25
▲	17
▼	10
